Timestamp,[SECTION A: Basic Information] 1. What is your age?,2. What is your gender?,[SECTION B: Social Media Usage] 3. Which social media platforms do you use regularly? (Select all that apply),4. How many hours do you spend on social media per day?,[SECTION C: Cyberbullying Experience] 5. Have you personally experienced cyberbullying or online harassment on social media?,6. Have you ever witnessed someone being cyberbullied?,"7. Have you ever posted, shared, or sent a message online that could have hurt or offended someone?","8. If yes, what was the main reason for your action?",9. What type of cyberbullying have you experienced or observed? (Select all that apply),10. On which social media platform did the incident occur?,11. How often have you experienced cyberbullying or online harassment?,[SECTION D: Mental Health Impact] 12. Do you think cyberbullying or online harassment affected your mental health?,13. Which of the following did you experience? (Select all that apply),"14. On a scale of 1–5, how severe was the emotional impact?",15. Did you seek help from anyone? (Select all that apply),"[SECTION E: Cyber Law Awareness and Prevention] 16. If you did not report the incident, what was the main reason?",17. In which area did you experience cyberbullying or online harassment?,18. What action did you take after experiencing cyberbullying or online harassment? (Select all that apply)
9/23/2026 19:01:04,Below 18,Male,Others,Less than 1 hour,No,No,Not Sure,I did not realize it was harmful,Other,Others,Never,Not at all,None,1 (Very Low),No,Privacy Concerns,Other,Ignored it
12-09-2026 01:36,23–30,Male,"Instagram, WhatsApp",1–3 hours,No,No,No,Not Applicable,Body Shaming,Instagram,Sometimes,Not at all,None,1 (Very Low),No,Lack of Awareness,School / College,Took No Action
12-09-2026 01:38,18–22,Male,YouTube,1–3 hours,No,Yes,No,Not Applicable,Fake Rumors,WhatsApp,Never,Not at all,None,1 (Very Low),No,Not Applicable,Unknown Stranger,Blocked the user
12-09-2026 02:05,18–22,Male,WhatsApp,Less than 1 hour,Yes,No,No,Not Applicable,Offensive Comments,Others,Rarely,Severely,"Stress, Depression, Anger",3,"Friends, Family",Privacy Concerns,Social Media Community,Blocked the user
12-09-2026 02:17,23–30,Female,YouTube,More than 5 hours,Yes,Yes,Yes,I did not realize it was harmful,Fake Profile,Instagram,Rarely,Moderately,Anxiety,5 (Very High),Friends,Didn't think it was serious,Social Media Community,Told Friends / Family
12-09-2026 03:19,23–30,Female,"Instagram, WhatsApp, YouTube",3–5 hours,No,Yes,Yes,Self-defense,Fake Profile,WhatsApp,Sometimes,Not at all,None,2,No,Not Applicable,Online Gaming,"Reported the account, Told Friends / Family"
12-09-2026 04:29,23–30,Male,Instagram,More than 5 hours,No,Yes,No,Not Applicable,Stalking,Instagram,Never,Not at all,None,3,Friends,Didn't think it was serious,Social Media Community,"Blocked the user, Reported the account, Told Friends / Family"
12-09-2026 04:44,18–22,Female,"Instagram, WhatsApp, YouTube",1–3 hours,No,Yes,No,Not Applicable,Offensive Comments,Instagram,Never,Not at all,None,1 (Very Low),No,Not Applicable,Social Media Community,Blocked the user
12-09-2026 06:11,18–22,Female,Instagram,1–3 hours,No,Yes,No,Not Applicable,Offensive Comments,Instagram,Never,Slightly,Anxiety,1 (Very Low),Friends,Not Applicable,School / College,Took No Action
12-09-2026 06:54,23–30,Female,Instagram,1–3 hours,Yes,Yes,No,Not Applicable,Fake Rumors,Instagram,Sometimes,Moderately,"Stress, Depression, Anger",2,Friends,Privacy Concerns,Social Media Community,Blocked the user
12-09-2026 07:09,18–22,Male,"Instagram, WhatsApp, YouTube, Others",3–5 hours,Yes,No,No,Not Applicable,Offensive Comments,Instagram,Rarely,Moderately,"Stress, Depression, Anger",3,"Friends, Family, No",Fear,Unknown Stranger,"Blocked the user, Reported the account"
12-09-2026 07:36,23–30,Female,YouTube,1–3 hours,No,Yes,Yes,To respond to the person,Stalking,Instagram,Rarely,Not at all,None,2,Friends,Not Applicable,Social Media Community,"Blocked the user, Reported the account"
12-09-2026 07:49,23–30,Prefer not to say,"Instagram, WhatsApp, YouTube",3–5 hours,No,Yes,Yes,I did not realize it was harmful,Fake Rumors,Instagram,Sometimes,Not at all,Loss of Confidence,1 (Very Low),No,Didn't think it was serious,Unknown Stranger,Took No Action
12-09-2026 08:15,18–22,Female,"Instagram, WhatsApp, YouTube",3–5 hours,No,Yes,No,Not Applicable,Fake Rumors,Instagram,Rarely,Not at all,None,1 (Very Low),No,Not Applicable,Unknown Stranger,Took No Action
12-09-2026 08:27,18–22,Female,"Instagram, WhatsApp",1–3 hours,Yes,No,No,Not Applicable,"Body Shaming, Hate Speech, Fake Rumors, Fake Profile",Instagram,Often,Moderately,Anxiety,2,"Friends, No",Privacy Concerns,Family,"Ignored it, Blocked the user"
12-09-2026 08:58,18–22,Male,"Instagram, WhatsApp, YouTube",More than 5 hours,No,Yes,No,Not Applicable,Fake Profile,Others,Rarely,Slightly,None,3,No,Lack of Awareness,Friends Circle,"Ignored it, Blocked the user"
12-09-2026 09:13,23–30,Male,"Instagram, WhatsApp",1–3 hours,No,No,No,Not Applicable,Offensive Comments,Instagram,Never,Not at all,Anxiety,1 (Very Low),No,Not Applicable,Family,Took No Action
12-09-2026 10:03,23–30,Female,Others,1–3 hours,No,No,No,Not Applicable,Fake Rumors,Instagram,Rarely,Slightly,Anger,2,Friends,Not Applicable,Unknown Stranger,Ignored it
12-09-2026 10:17,18–22,Female,"Instagram, WhatsApp, YouTube",1–3 hours,Yes,No,No,Not Applicable,Threats,YouTube,Rarely,Severely,"Stress, Depression, Loss of Confidence",4,No,Privacy Concerns,School / College,"Blocked the user, Reported the account, Told Friends / Family"
12-09-2026 11:20,18–22,Female,"WhatsApp, YouTube",3–5 hours,Yes,No,Yes,For fun,Fake Rumors,WhatsApp,Rarely,Severely,None,3,"Friends, Family",Didn't think it was serious,Family,Told Friends / Family
12-09-2026 11:31,23–30,Female,WhatsApp,1–3 hours,Yes,Yes,Yes,Self-defense,Offensive Comments,YouTube,Sometimes,Slightly,"Stress, Depression",3,Family,Didn't know how to report,Social Media Community,Blocked the user
12-09-2026 12:51,23–30,Female,"Instagram, WhatsApp, YouTube, Others",More than 5 hours,No,Yes,No,Not Applicable,Body Shaming,Instagram,Never,Moderately,None,1 (Very Low),Family,Not Applicable,Social Media Community,Ignored it
12-09-2026 13:36,31–40,Male,"Instagram, WhatsApp, YouTube, Others",1–3 hours,Yes,Yes,No,Not Applicable,Body Shaming,Others,Never,Moderately,Anxiety,1 (Very Low),"Friends, Family",Privacy Concerns,Friends Circle,Blocked the user
12-09-2026 14:15,23–30,Female,WhatsApp,1–3 hours,Yes,Yes,Yes,I was angry,Hate Speech,Instagram,Never,Moderately,None,2,Friends,Fear,Unknown Stranger,Told Friends / Family
12-09-2026 14:30,23–30,Male,"Instagram, WhatsApp, YouTube",3–5 hours,No,Yes,No,Not Applicable,Fake Profile,Instagram,Never,Not at all,None,2,No,Didn't think it was serious,Family,Ignored it
12-09-2026 15:05,31–40,Male,Instagram,3–5 hours,Yes,No,No,Not Applicable,Stalking,YouTube,Rarely,Not at all,"Stress, Depression",4,No,Fear,Unknown Stranger,Told Friends / Family
12-09-2026 15:26,23–30,Female,"Instagram, WhatsApp",1–3 hours,No,Yes,No,Not Applicable,Stalking,Instagram,Never,Not at all,None,1 (Very Low),Family,Not Applicable,Social Media Community,"Ignored it, Blocked the user"
12-09-2026 17:13,23–30,Female,"Instagram, WhatsApp",Less than 1 hour,No,Yes,No,Not Applicable,Body Shaming,WhatsApp,Never,Slightly,Anger,1 (Very Low),No,Didn't think it was serious,Family,Blocked the user
12-09-2026 18:03,18–22,Male,"Instagram, WhatsApp",1–3 hours,No,Yes,No,Not Applicable,Fake Profile,Instagram,Rarely,Moderately,None,1 (Very Low),Family,Not Applicable,Family,Ignored it
12-09-2026 18:35,18–22,Male,"Instagram, WhatsApp, YouTube",Less than 1 hour,Yes,No,No,Not Applicable,Body Shaming,WhatsApp,Very Often,Moderately,None,4,Friends,No reason,Other,Told Friends / Family
12-09-2026 19:31,23–30,Male,WhatsApp,1–3 hours,Yes,Yes,Yes,For fun,"Body Shaming, Hate Speech, Fake Rumors, Fake Profile",WhatsApp,Rarely,Moderately,Anxiety,4,Friends,Lack of Awareness,Unknown Stranger,Blocked the user
